Time,demand
01/01/2019 00:00,72
01/01/2019 01:00,59
01/01/2019 02:00,55
01/01/2019 03:00,57
01/01/2019 04:00,65
01/01/2019 05:00,47
01/01/2019 06:00,66
01/01/2019 07:00,96
01/01/2019 08:00,118
01/01/2019 09:00,99
01/01/2019 10:00,89
01/01/2019 11:00,121
01/01/2019 12:00,118
01/01/2019 13:00,101
01/01/2019 14:00,97
01/01/2019 15:00,104
01/01/2019 16:00,88
01/01/2019 17:00,130
01/01/2019 18:00,153
01/01/2019 19:00,150
01/01/2019 20:00,139
01/01/2019 21:00,113
01/01/2019 22:00,111
01/01/2019 23:00,111
02/01/2019 00:00,89
02/01/2019 01:00,68
02/01/2019 02:00,68
02/01/2019 03:00,52
02/01/2019 04:00,53
02/01/2019 05:00,47
02/01/2019 06:00,49
02/01/2019 07:00,63
02/01/2019 08:00,100
02/01/2019 09:00,116
02/01/2019 10:00,124
02/01/2019 11:00,141
02/01/2019 12:00,150
02/01/2019 13:00,129
02/01/2019 14:00,124
02/01/2019 15:00,99
02/01/2019 16:00,104
02/01/2019 17:00,123
02/01/2019 18:00,145
02/01/2019 19:00,141
02/01/2019 20:00,133
02/01/2019 21:00,114
02/01/2019 22:00,106
02/01/2019 23:00,102
03/01/2019 00:00,90
03/01/2019 01:00,64
03/01/2019 02:00,56
03/01/2019 03:00,50
03/01/2019 04:00,57
03/01/2019 05:00,42
03/01/2019 06:00,46
03/01/2019 07:00,54
03/01/2019 08:00,80
03/01/2019 09:00,113
03/01/2019 10:00,133
03/01/2019 11:00,134
03/01/2019 12:00,165
03/01/2019 13:00,140
03/01/2019 14:00,114
03/01/2019 15:00,112
03/01/2019 16:00,102
03/01/2019 17:00,137
03/01/2019 18:00,173
03/01/2019 19:00,169
03/01/2019 20:00,168
03/01/2019 21:00,145
03/01/2019 22:00,126
03/01/2019 23:00,96
04/01/2019 00:00,80
04/01/2019 01:00,56
04/01/2019 02:00,48
04/01/2019 03:00,48
04/01/2019 04:00,40
