datatime;price;demand
01/01/2019 00:00;69.49;72
01/01/2019 01:00;66.58;59
01/01/2019 02:00;65.07;55
01/01/2019 03:00;52.17;57
01/01/2019 04:00;47.66;65
01/01/2019 05:00;50.87;47
01/01/2019 06:00;52.88;66
01/01/2019 07:00;61.78;96
01/01/2019 08:00;50.08;118
01/01/2019 09:00;50.27;99
01/01/2019 10:00;66.36;89
01/01/2019 11:00;75.08;121
01/01/2019 12:00;90.66;118
01/01/2019 13:00;75.71;101
01/01/2019 14:00;68.3;97
01/01/2019 15:00;61.83;104
01/01/2019 16:00;72.12;88
01/01/2019 17:00;62.58;130
01/01/2019 18:00;56.94;153
01/01/2019 19:00;57.89;150
01/01/2019 20:00;51.3;139
01/01/2019 21:00;51.89;113
01/01/2019 22:00;60.88;111
01/01/2019 23:00;60.74;111
02/01/2019 00:00;65.96;89
02/01/2019 01:00;57.9;68
02/01/2019 02:00;56.48;68
02/01/2019 03:00;46.68;52
02/01/2019 04:00;50.8;53
02/01/2019 05:00;45.28;47
02/01/2019 06:00;55.3;49
02/01/2019 07:00;56.86;63
02/01/2019 08:00;55.99;100
02/01/2019 09:00;55.33;116
02/01/2019 10:00;53.47;124
02/01/2019 11:00;53.22;141
02/01/2019 12:00;57.32;150
02/01/2019 13:00;51.91;129
02/01/2019 14:00;54.59;124
02/01/2019 15:00;58.89;99
02/01/2019 16:00;66.57;104
02/01/2019 17:00;74.33;123
02/01/2019 18:00;74.45;145
02/01/2019 19:00;74.33;141
02/01/2019 20:00;67.29;133
02/01/2019 21:00;55.64;114
02/01/2019 22:00;56.77;106
02/01/2019 23:00;57.28;102
03/01/2019 00:00;50.12;90
03/01/2019 01:00;46.45;64
03/01/2019 02:00;46.12;56
03/01/2019 03:00;44.0;50
03/01/2019 04:00;43.88;57
03/01/2019 05:00;45.92;42
03/01/2019 06:00;52.96;46
03/01/2019 07:00;60.22;54
03/01/2019 08:00;65.65;80
03/01/2019 09:00;75.58;113
03/01/2019 10:00;77.03;133
03/01/2019 11:00;71.59;134
03/01/2019 12:00;69.83;165
03/01/2019 13:00;68.15;140
03/01/2019 14:00;68.25;114
03/01/2019 15:00;68.19;112
03/01/2019 16:00;69.4;102
03/01/2019 17:00;72.32;137
03/01/2019 18:00;77.92;173
03/01/2019 19:00;71.34;169
03/01/2019 20:00;68.38;168
03/01/2019 21:00;61.72;145
03/01/2019 22:00;56.6;126
03/01/2019 23:00;56.06;96
04/01/2019 00:00;53.44;80
04/01/2019 01:00;51.27;56
04/01/2019 02:00;50.0;48
04/01/2019 03:00;47.87;48
04/01/2019 04:00;47.0;40
04/01/2019 05:00;47.51;44
04/01/2019 06:00;59.54;62
04/01/2019 07:00;68.4;107
04/01/2019 08:00;74.19;100
04/01/2019 09:00;81.91;108
04/01/2019 10:00;83.56;106
04/01/2019 11:00;82.33;106
04/01/2019 12:00;79.38;106
04/01/2019 13:00;78.45;87
04/01/2019 14:00;80.62;79
04/01/2019 15:00;80.39;90
04/01/2019 16:00;79.73;81
04/01/2019 17:00;86.94;134
04/01/2019 18:00;85.7;170
04/01/2019 19:00;79.6;177
04/01/2019 20:00;60.4;164
04/01/2019 21:00;60.3;134
04/01/2019 22:00;60.3;121
04/01/2019 23:00;54.9;102
05/01/2019 00:00;59.3;75
05/01/2019 01:00;57.17;51
05/01/2019 02:00;45.9;46
05/01/2019 03:00;49.05;45
05/01/2019 04:00;51.0;52
05/01/2019 05:00;51.0;53
05/01/2019 06:00;52.21;63
05/01/2019 07:00;48.09;97
05/01/2019 08:00;59.11;101
05/01/2019 09:00;69.0;97
05/01/2019 10:00;69.0;103
05/01/2019 11:00;69.0;99
05/01/2019 12:00;73.0;110
05/01/2019 13:00;73.0;100
05/01/2019 14:00;68.96;83
05/01/2019 15:00;64.12;87
05/01/2019 16:00;59.61;102
05/01/2019 17:00;75.14;142
05/01/2019 18:00;74.7;174
05/01/2019 19:00;76.29;153
05/01/2019 20:00;68.07;136
05/01/2019 21:00;60.05;116
05/01/2019 22:00;65.76;116
05/01/2019 23:00;64.9;103
06/01/2019 00:00;59.23;86
06/01/2019 01:00;51.54;61
06/01/2019 02:00;50.6;53
06/01/2019 03:00;48.02;55
06/01/2019 04:00;46.41;53
06/01/2019 05:00;47.17;57
06/01/2019 06:00;48.19;59
06/01/2019 07:00;49.11;92
06/01/2019 08:00;50.77;108
06/01/2019 09:00;53.4;107
06/01/2019 10:00;56.55;94
06/01/2019 11:00;60.02;111
06/01/2019 12:00;60.22;131
06/01/2019 13:00;55.0;113
06/01/2019 14:00;52.39;87
06/01/2019 15:00;51.57;80
06/01/2019 16:00;54.71;91
06/01/2019 17:00;63.43;129
06/01/2019 18:00;67.37;158
06/01/2019 19:00;67.2;178
06/01/2019 20:00;66.03;159
06/01/2019 21:00;55.36;139
06/01/2019 22:00;58.59;121
06/01/2019 23:00;55.97;116
07/01/2019 00:00;54.58;73
07/01/2019 01:00;50.7;58
07/01/2019 02:00;47.84;51
07/01/2019 03:00;46.11;50
07/01/2019 04:00;46.08;51
07/01/2019 05:00;47.62;46
07/01/2019 06:00;55.77;57
07/01/2019 07:00;68.61;98
07/01/2019 08:00;74.15;96
07/01/2019 09:00;74.93;100
07/01/2019 10:00;73.59;97
07/01/2019 11:00;71.23;106
07/01/2019 12:00;70.18;130
07/01/2019 13:00;68.74;106
07/01/2019 14:00;64.6;90
07/01/2019 15:00;59.25;87
07/01/2019 16:00;58.16;91
07/01/2019 17:00;74.0;140
07/01/2019 18:00;53.95;167
07/01/2019 19:00;50.0;154
07/01/2019 20:00;51.0;145
07/01/2019 21:00;44.4;127
07/01/2019 22:00;48.72;114
07/01/2019 23:00;44.4;114
08/01/2019 00:00;37.88;73
08/01/2019 01:00;43.76;53
08/01/2019 02:00;44.5;49
08/01/2019 03:00;30.87;52
08/01/2019 04:00;28.28;49
08/01/2019 05:00;42.0;52
08/01/2019 06:00;54.0;61
08/01/2019 07:00;60.79;97
08/01/2019 08:00;72.7;102
08/01/2019 09:00;67.64;119
08/01/2019 10:00;61.81;108
08/01/2019 11:00;58.55;109
08/01/2019 12:00;49.39;119
08/01/2019 13:00;49.01;90
08/01/2019 14:00;52.38;90
08/01/2019 15:00;52.37;88
08/01/2019 16:00;52.84;96
08/01/2019 17:00;77.35;120
08/01/2019 18:00;55.22;147
08/01/2019 19:00;51.99;145
08/01/2019 20:00;50.1;140
08/01/2019 21:00;51.6;123
08/01/2019 22:00;53.34;104
08/01/2019 23:00;54.98;115
09/01/2019 00:00;45.1;91
09/01/2019 01:00;43.05;71
09/01/2019 02:00;40.41;53
09/01/2019 03:00;35.49;47
09/01/2019 04:00;30.76;53
09/01/2019 05:00;38.53;44
09/01/2019 06:00;50.69;50
09/01/2019 07:00;60.6;63
09/01/2019 08:00;70.39;101
09/01/2019 09:00;74.0;130
09/01/2019 10:00;70.1;144
09/01/2019 11:00;54.68;139
09/01/2019 12:00;51.09;162
09/01/2019 13:00;50.1;158
09/01/2019 14:00;54.16;119
09/01/2019 15:00;56.34;107
09/01/2019 16:00;64.98;128
09/01/2019 17:00;73.93;138
09/01/2019 18:00;74.69;153
09/01/2019 19:00;56.3;151
09/01/2019 20:00;56.3;136
09/01/2019 21:00;56.3;124
09/01/2019 22:00;56.3;102
09/01/2019 23:00;51.27;99
10/01/2019 00:00;52.69;83
10/01/2019 01:00;49.8;61
10/01/2019 02:00;49.19;50
10/01/2019 03:00;48.8;52
10/01/2019 04:00;48.5;54
10/01/2019 05:00;49.8;47
10/01/2019 06:00;60.08;51
10/01/2019 07:00;72.6;64
10/01/2019 08:00;81.17;89
10/01/2019 09:00;81.79;102
10/01/2019 10:00;81.15;126
10/01/2019 11:00;80.0;137
10/01/2019 12:00;76.39;158
10/01/2019 13:00;75.0;138
10/01/2019 14:00;76.06;122
10/01/2019 15:00;75.4;114
10/01/2019 16:00;76.78;96
10/01/2019 17:00;83.45;127
10/01/2019 18:00;85.15;158
10/01/2019 19:00;78.16;161
10/01/2019 20:00;71.92;142
10/01/2019 21:00;67.43;123
10/01/2019 22:00;62.84;126
10/01/2019 23:00;56.15;97
11/01/2019 00:00;53.54;73
11/01/2019 01:00;49.37;51
11/01/2019 02:00;49.5;49
11/01/2019 03:00;47.39;47
11/01/2019 04:00;47.16;50
11/01/2019 05:00;46.54;58
11/01/2019 06:00;54.2;68
11/01/2019 07:00;70.31;105
11/01/2019 08:00;76.57;86
11/01/2019 09:00;70.31;94
11/01/2019 10:00;74.14;107
11/01/2019 11:00;72.74;94
11/01/2019 12:00;56.96;108
11/01/2019 13:00;53.0;99
11/01/2019 14:00;53.08;76
11/01/2019 15:00;52.43;66
11/01/2019 16:00;53.01;87
11/01/2019 17:00;71.2;129
11/01/2019 18:00;72.4;164
11/01/2019 19:00;65.12;152
11/01/2019 20:00;69.37;143
11/01/2019 21:00;57.7;123
11/01/2019 22:00;57.7;114
11/01/2019 23:00;61.56;106
12/01/2019 00:00;67.17;76
12/01/2019 01:00;49.34;55
12/01/2019 02:00;47.35;53
12/01/2019 03:00;43.96;59
12/01/2019 04:00;43.6;63
12/01/2019 05:00;42.98;54
12/01/2019 06:00;42.98;64
12/01/2019 07:00;51.36;93
12/01/2019 08:00;54.89;103
12/01/2019 09:00;62.11;88
12/01/2019 10:00;65.0;90
12/01/2019 11:00;65.25;93
12/01/2019 12:00;62.0;89
12/01/2019 13:00;62.0;85
12/01/2019 14:00;62.0;83
12/01/2019 15:00;62.0;77
12/01/2019 16:00;54.69;86
12/01/2019 17:00;62.0;108
12/01/2019 18:00;65.0;140
12/01/2019 19:00;62.0;138
12/01/2019 20:00;51.85;136
12/01/2019 21:00;52.29;121
12/01/2019 22:00;53.67;102
12/01/2019 23:00;52.44;93
13/01/2019 00:00;53.32;93
13/01/2019 01:00;46.7;64
13/01/2019 02:00;43.9;56
13/01/2019 03:00;32.7;48
13/01/2019 04:00;27.38;49
13/01/2019 05:00;28.35;54
13/01/2019 06:00;29.08;61
13/01/2019 07:00;29.79;100
13/01/2019 08:00;29.65;101
13/01/2019 09:00;43.7;97
13/01/2019 10:00;49.63;99
13/01/2019 11:00;54.74;104
13/01/2019 12:00;52.95;118
13/01/2019 13:00;58.28;93
13/01/2019 14:00;43.9;99
13/01/2019 15:00;33.35;83
13/01/2019 16:00;33.06;95
13/01/2019 17:00;52.48;129
13/01/2019 18:00;58.59;164
13/01/2019 19:00;55.79;173
13/01/2019 20:00;58.57;146
13/01/2019 21:00;43.7;128
13/01/2019 22:00;50.04;120
